Level 0 URI,Level 0 preferred term,Level 1 URI,Level 1 preferred term,Level 2 URI,Level 2 preferred term,Level 3 URI,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.2,Herstellen und Pflegen von Kontakten sowie Bildung von Netzwerken,http://data.europa.eu/esco/skill/S1.2.3,Aufbau von beruflichen Beziehungen oder Netzwerken,"Developing alliances, contacts or partnerships with colleagues, clients and stakeholders.","Examples include: 
- develop communication networks with shipping sites
- develop professional network
- maintain relationship with suppliers",S,S1,S1.2,S1.2.3
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.2,Herstellen und Pflegen von Kontakten sowie Bildung von Netzwerken,http://data.europa.eu/esco/skill/S1.2.4,Eintreten für individuelle oder gemeinschaftliche Bedürfnisse,"Delivering arguments in favour of something, such as a cause, idea, or policy, to benefit another person or a community.","Excludes:
- Promoting goods and services
- Representing clients in legal proceeding

Examples:
- Advocate for healthcare users' needs
- Promote service users' rights
- Influence legislators",S,S1,S1.2,S1.2.4
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.3,Lehre und Ausbildung,,,"Facilitating the acquisition of new knowledge and skills. Leading and guiding individuals and groups through a process in which they are taught the necessary skills and knowledge for life, future learning or for a particular job or set of jobs.","Excludes:
- Training animals",S,S1,S1.3
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.3,Lehre und Ausbildung,http://data.europa.eu/esco/skill/S1.3.0,Lehre und Ausbildung,"Facilitating the acquisition of new knowledge and skills. Leading and guiding individuals and groups through a process in which they are taught the necessary skills and knowledge for life, future learning or for a particular job or set of jobs.","Excludes:
- Training animals",S,S1,S1.3,S1.3.0
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.3,Lehre und Ausbildung,http://data.europa.eu/esco/skill/S1.3.1,Unterricht in akademischen oder berufsbildenden Fächern,Instruct students in the theory and practice of academic or vocational subjects.,"Examples:
- Give theory lessons to pilots
- Teach biology
- Teach basic numeracy skills
- Teach industrial arts principles",S,S1,S1.3,S1.3.1
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.3,Lehre und Ausbildung,http://data.europa.eu/esco/skill/S1.3.2,Schulung zu Sicherheitsvorschriften,Teaching safety procedures or standards to other people.,"Examples:
- Educate employees on occupational hazards
- Provide on-board safety training
- Train staff in safety procedures
- Educate public on fire safety",S,S1,S1.3,S1.3.2
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.3,Lehre und Ausbildung,http://data.europa.eu/esco/skill/S1.3.3,Schulung zu betrieblichen Verfahren,"Training employees, students or clients on operational procedures in the work place or and demonstrating the use of equipment or products.","Excludes:
- Teaching vocational subjects as part of formal learning
- Teaching safety procedures and standards
- Coaching

Examples include:
- Teach air cabin crew procedures
- Train operators in using mine machinery
- Demonstrate functionality of software products",S,S1,S1.3,S1.3.3
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.3,Lehre und Ausbildung,http://data.europa.eu/esco/skill/S1.3.4,Schulung zu Gesundheits- oder medizinischen Themen,"Training patients, health providers, or carers on health or hygiene practices, medical procedures or physcial fitness.","Excludes:
- Teaching medicine or nursing as part of a formal education programme

Examples include:
- Teach first aid principles
- Train medical staff on nutrition
- Educate patient's relations on care",S,S1,S1.3,S1.3.4
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.3,Lehre und Ausbildung,http://data.europa.eu/esco/skill/S1.3.5,Coaching und Mentoring,"Actively helping individuals or groups to improve their strengths, life skills, performance, learning skills and confidence and to optimise specific methods, skills or abilities.","Examples:
- Coach during a sports competition
- Assist clients with personal development
- Mentor individual employees",S,S1,S1.3,S1.3.5
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.4,Informationen präsentieren,,,Presenting oral or visual material to an audience in order to provide or interpret information.,,S,S1,S1.4
