,URIs,"(index, label)"
84,"(60, 217, 28, 29, 218, 78)","(84, 'bei produktkenntnis auf der laufenden halten')"
85,"(219, 220)","(85, 'ungarisch schreiben')"
86,"(221, 222)","(86, 'bohrspülung überwachen')"
87,"(223, 93, 29, 224, 42)","(87, 'effizienzplan für der seeschifffahrt entwickeln')"
88,"(225, 58)","(88, 'verpackungsmaschine bedienen')"
89,"(226, 29, 199, 26, 227, 228)","(89, 'über der umgang mit tonprodukt aufklären')"
90,"(229, 132)","(90, 'bohrausrüstung warten')"
91,"(230, 231)","(91, 'baumkrankheit bekämpfen')"
92,"(29, 232, 233, 234, 29, 235, 28, 29, 236, 237)","(92, 'der künstlerisch konzept anhand der geschehen auf der bühne analysieren')"
93,"(238, 239)","(93, 'datenbestand migrieren')"
94,"(240, 178)","(94, 'lieferung organisieren')"
95,"(241, 242, 65, 243, 200)","(95, 'menschlich faktor in bereich sicherheit')"
96,"(244, 18)","(96, 'dachwartungsarbeit durchführen')"
97,"(245,)","(97, 'kocherarten')"
98,"(246, 247, 248)","(98, 'physisch datenbankstruktur definieren')"
99,"(249, 250)","(99, 'stein verlegen')"
100,"(251, 252)","(100, 'zirkustakelag montieren')"
101,"(253, 9, 254, 255, 256, 1)","(101, 'dokumentation von bewertung früh lernerfahrung verwalten')"
102,"(257, 258, 259)","(102, 'mund-und zahngesundheitsdiagnostik betreiben')"
103,"(260,)","(103, 'geoinformatik')"
104,"(261,)","(104, 'kontaminationsschutzvorschrifte')"
105,"(262,)","(105, 'maltego')"
106,"(65, 263, 264, 265, 266)","(106, 'in archiv historisch quelle suchen')"
107,"(267, 222)","(107, 'kampfszen überwachen')"
108,"(268, 269)","(108, 'filmskript erstellen')"
109,"(270, 58)","(109, 'funkgerät bedienen')"
110,"(271, 272, 273)","(110, 'kontaminiert material entfernen')"
111,"(274, 275)","(111, 'lackqualität prüfen')"
112,"(276,)","(112, 'kartonagengrößen')"
113,"(277, 226, 29, 278, 279)","(113, 'finanzinformation über der immobilie sammeln')"
114,"(280, 281)","(114, 'finanztransaktion zurückverfolgen')"
115,"(120, 282, 120, 283, 9, 284, 285, 286)","(115, 'zu veranstaltung zu qualität von physiotherapeutisch dienstleistung beitragen')"
116,"(287, 55)","(116, 'radiator installieren')"
117,"(119, 120, 288, 93, 289, 122)","(117, 'beratung zu pflegeprodukt für haustier leisten')"
118,"(290, 58)","(118, 'fernerkundungsanlage bedienen')"
119,"(291, 51, 292, 293)","(119, 'treppensteigung und treppenlauf berechnen')"
120,"(294, 295, 93, 296)","(120, 'erster hilfe für tier')"
121,"(297, 65, 298, 299)","(121, 'sich in outdoor-gruppe einfühlen')"
122,"(300, 120, 301, 120, 302, 303)","(122, 'hintergrundinformatione zu nachricht zu verfügung stellen')"
123,"(304,)","(123, 'schaltplan')"
124,"(232, 305, 306)","(124, 'künstlerisch produktion ausarbeiten')"
125,"(307, 308)","(125, 'passagier-serviceeinheit einbauen')"
126,"(309, 310, 311)","(126, 'geschrieben koreanisch verstehen')"
127,"(312, 226, 313, 60, 314, 315)","(127, 'aufzeichnung über feststellung bei brückenprüfung führen')"
128,"(316,)","(128, 'sandstrahlmaschinenteil')"
129,"(317, 269)","(129, 'modell erstellen')"
130,"(318, 120, 319, 9, 320, 321, 65, 322, 29, 323, 324)","(130, 'verfahren zu kontrolle von gefährlich stoff in rahmen der gesundheitsvorschrifte befolgen')"
131,"(325, 326, 9, 327, 165)","(131, 'visuell eindruck von auslage beurteilen')"
132,"(328, 120, 329, 330)","(132, 'glas zu servieren auswählen')"
133,"(331,)","(133, 'herz-kreislauf-system')"
134,"(332, 65, 212, 26, 296)","(134, 'biosicherheit in zusammenhang mit tier')"
135,"(333, 120, 334, 12)","(135, 'information zu verschreibung überprüfen')"
136,"(335, 93, 29, 336, 107, 337, 338, 28, 29, 194, 339)","(136, 'verantwortung für der wahrung ein sicher umgebung auf der schiff übernehmen')"
137,"(340, 65, 29, 341, 342)","(137, 'hygienepraktik in der fischerei einhalten')"
138,"(61, 62, 29, 343, 3)","(138, 'arbeit an der konstruktionsplanung beaufsichtigen')"
139,"(344, 345)","(139, 'baum vermessen')"
140,"(346, 347)","(140, 'daube biegen')"
141,"(348, 93, 29, 349, 330)","(141, 'musik für der aufführung auswählen')"
142,"(350, 351)","(142, 'geologisch kartografie')"
143,"(352, 353)","(143, 'elektronenstrahlschweißanlage pflegen')"
144,"(354, 29, 355, 21)","(144, 'zugänglichkeit der infrastruktur gewährleisten')"
145,"(356, 275)","(145, 'tischgedecke prüfen')"
146,"(107, 357, 26, 358, 359, 360)","(146, 'ein auto mit automatisch getriebe fahren')"
147,"(361, 151)","(147, 'infusion vorbereiten')"
148,"(362, 59, 363)","(148, 'elektronisch gerät konfigurieren')"
149,"(364,)","(149, 'erlang')"
150,"(365, 366, 58)","(150, 'speziell notfallausrüstung bedienen')"
151,"(367, 57)","(151, 'verkaufsfläche planen')"
152,"(368, 89)","(152, 'broschüre verfassen')"
153,"(369, 180)","(153, 'goldschmiedewerkzeuge verwenden')"
154,"(370, 371)","(154, 'wein kosten')"
155,"(372, 9, 373)","(155, 'herstellung von armatur')"
156,"(374, 375, 9, 150, 51, 376, 102)","(156, 'sensorisch parameter von öl und fett kontrollieren')"
157,"(377, 77, 78)","(157, 'kokillenteil instand halten')"
158,"(378, 219, 311)","(158, 'gesprochen ungarisch verstehen')"
