,concept_uri,preferred_label
51,http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,die Ausstattung des Gästezimmers erklären
52,http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,Arten von Gerste
53,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop
54,http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,Fahrzeugteile kaufen
55,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,Offshorebauwerke untersuchen
56,http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9,Patienten/Patientinnen in medizinische Einrichtungen transportieren
57,http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,Umschlagzuschnitt einstellen
58,http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,Öle vorbereiten
59,http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,Vorräte einkaufen
60,http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,bei der Konzeption von Lebensmitteln Exzellenz anstreben
61,http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,bei Reinigungsarbeiten persönliche Hygienestandards wahren
62,http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,mit Schreibkräften in Kontakt stehen
63,http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,Eisenbahnbetrieb beurteilen
64,http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,Extremsportarten ausüben
65,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,Maßnahmen zur Förderung der biologischen Vielfalt und des Tierschutzes ergreifen
66,http://data.europa.eu/esco/skill/0174a9e6-bf12-4ac3-bfc3-0a5469410f18,Betreuungspersonen für Kinder am Drehort bereitstellen
67,http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,Arbeitsvorgänge organisieren
68,http://data.europa.eu/esco/skill/017738e7-7d12-4e87-a580-8523405bab96,Glasgravur-Werkzeug verwenden
69,http://data.europa.eu/esco/skill/017d3b78-ebfa-431d-acc5-8050e9b0fdc8,Abrissbirne steuern
70,http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6,Stoffqualität bewerten
71,http://data.europa.eu/esco/skill/01819474-b960-4b8f-b020-2da26518d43a,Rückerstattungen beantragen
72,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,Durchführbarkeitsstudie für Gebäudemanagementsysteme ausführen
73,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (Lernmanagementsysteme)
74,http://data.europa.eu/esco/skill/0194a8eb-c262-411a-ad3f-f3d587630562,administrative Aufgaben für kleine Schiffe wahrnehmen
75,http://data.europa.eu/esco/skill/0196d283-9b1a-43a5-b219-43580c7cf560,Inhaltsstoffe von Kosmetika
76,http://data.europa.eu/esco/skill/01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0,Erfahrungen im Umgang mit der Sicherheit von Gästen
77,http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,zu Baumaterialien beraten
78,http://data.europa.eu/esco/skill/01c4bbed-0449-44c9-9c05-48c30ffdcc22,rotierende Ausrüstungen warten
79,http://data.europa.eu/esco/skill/01cea4d4-41fa-42a2-9bf7-7ba0a8f439c1,Freiwillige im Secondhandladen leiten
80,http://data.europa.eu/esco/skill/01d3d692-dcba-4544-82d2-fc27726bdbbc,Pumpvorrichtungen für Einlagerungszwecke
81,http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808,biomedizinische und medizinische Wissenschaften im Zusammenhang mit der Zahnmedizin
82,http://data.europa.eu/esco/skill/01e5d2e2-d368-4fb9-9be9-9923146482c4,Details des Gussverfahrens beobachten
83,http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8,biomedizinische Wissenschaften
84,http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,bei Produktkenntnis auf dem Laufenden halten
85,http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,Ungarisch schreiben
86,http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,Bohrspülung überwachen
87,http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750,Effizienzpläne für die Seeschifffahrt entwickeln
88,http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,Verpackungsmaschinen bedienen
89,http://data.europa.eu/esco/skill/01ffbbf3-0c62-45e0-92d9-01a86dc7c81d,über den Umgang mit Tonprodukten aufklären
90,http://data.europa.eu/esco/skill/0200e5e6-218d-4dae-b1ab-250382250ecb,Bohrausrüstung warten
91,http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5,Baumkrankheiten bekämpfen
92,http://data.europa.eu/esco/skill/0207f83d-a1e4-4b47-b80c-84d41257791f,das künstlerische Konzept anhand des Geschehens auf der Bühne analysieren
93,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,Datenbestand migrieren
94,http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,Lieferungen organisieren
95,http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6,menschliche Faktoren im Bereich Sicherheit
96,http://data.europa.eu/esco/skill/021cf226-3dac-4712-9738-24bf0952c064,Dachwartungsarbeiten durchführen
97,http://data.europa.eu/esco/skill/0227a4f4-f979-4e5a-bd11-93744f339246,Kocherarten
98,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,physische Datenbankstruktur definieren
99,http://data.europa.eu/esco/skill/0232e2ee-5535-46e0-9c64-ea80c896c62f,Steine verlegen
100,http://data.europa.eu/esco/skill/0234bf2c-0483-4953-be59-edc2fcdd9e4b,Zirkustakelage montieren
101,http://data.europa.eu/esco/skill/0238dd62-d407-4a87-ae0c-e08cd7b4ea8d,Dokumentation von Bewertungen früherer Lernerfahrungen verwalten
102,http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b,Mund-und Zahngesundheitsdiagnostik betreiben
103,http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,Geoinformatik
104,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,Kontaminationsschutzvorschriften
105,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego
106,http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8,in Archiven historische Quellen suchen
107,http://data.europa.eu/esco/skill/024910a2-1ee8-4f07-bac6-33b577d9392e,Kampfszenen überwachen
