course,competency
4A873264-7ADD-DE47-3039-1FDA692E8164,http://data.europa.eu/esco/skill/08fe5910-8c4c-4679-a988-eb2ded3c4909
4A873264-7ADD-DE47-3039-1FDA692E8164,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab
A0CC573A-79D7-79A4-5B22-F675C4F06950,http://data.europa.eu/esco/skill/08fe5910-8c4c-4679-a988-eb2ded3c4909
