conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/skill/S1.14.0,Auftreten/Darbietungen und Unterhaltung,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.14.0
SkillGroup,http://data.europa.eu/esco/skill/S1.14.1,Sport treiben,,,released,2021-08-06T11:15:38.673Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.14.1
SkillGroup,http://data.europa.eu/esco/skill/S1.14.2,Künstlerische oder kulturelle Aktivitäten,,,released,2021-09-15T08:45:40.078Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.14.2
SkillGroup,http://data.europa.eu/esco/skill/S1.14.3,Durchführung von Glücksspielaktivitäten,,,released,2021-10-14T12:50:46.363Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.14.3
SkillGroup,http://data.europa.eu/esco/skill/S1.15,Benutzung mehr als einer Sprache,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.15
SkillGroup,http://data.europa.eu/esco/skill/S1.15.0,Benutzung mehr als einer Sprache,,,released,2021-04-15T08:19:35.605Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.15.0
SkillGroup,http://data.europa.eu/esco/skill/S1.15.1,Benutzung von Fremdsprachen,,,released,2021-04-14T10:04:10.228Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.15.1
SkillGroup,http://data.europa.eu/esco/skill/S1.15.2,Übersetzen und Dolmetschen,,,released,2021-09-20T12:11:22.451Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.15.2
SkillGroup,http://data.europa.eu/esco/skill/S1.2,Herstellen und Pflegen von Kontakten sowie Bildung von Netzwerken,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.2
SkillGroup,http://data.europa.eu/esco/skill/S1.2.0,Herstellen und Pflegen von Kontakten sowie Bildung von Netzwerken,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.2.0
SkillGroup,http://data.europa.eu/esco/skill/S1.2.1,Koordinierung von Tätigkeiten mit anderen,,,released,2020-12-10T10:36:23.095Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.2.1
SkillGroup,http://data.europa.eu/esco/skill/S1.2.3,Aufbau von beruflichen Beziehungen oder Netzwerken,,,released,2021-07-12T08:37:36.307Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.2.3
SkillGroup,http://data.europa.eu/esco/skill/S1.2.4,Eintreten für individuelle oder gemeinschaftliche Bedürfnisse,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.2.4
SkillGroup,http://data.europa.eu/esco/skill/S1.3,Lehre und Ausbildung,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.3
SkillGroup,http://data.europa.eu/esco/skill/S1.3.0,Lehre und Ausbildung,,,released,2021-09-30T15:58:04.159Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.3.0
SkillGroup,http://data.europa.eu/esco/skill/S1.3.1,Unterricht in akademischen oder berufsbildenden Fächern,,,released,2021-07-12T08:41:38.482Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.3.1
SkillGroup,http://data.europa.eu/esco/skill/S1.3.2,Schulung zu Sicherheitsvorschriften,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.3.2
SkillGroup,http://data.europa.eu/esco/skill/S1.3.3,Schulung zu betrieblichen Verfahren,,,released,2021-01-20T14:25:45.625Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.3.3
SkillGroup,http://data.europa.eu/esco/skill/S1.3.4,Schulung zu Gesundheits- oder medizinischen Themen,,,released,2020-12-10T09:59:32.486Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.3.4
SkillGroup,http://data.europa.eu/esco/skill/S1.3.5,Coaching und Mentoring,,,released,2020-12-08T11:37:17.207Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.3.5
SkillGroup,http://data.europa.eu/esco/skill/S1.4,Informationen präsentieren,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.4
SkillGroup,http://data.europa.eu/esco/skill/S1.4.0,Informationen präsentieren,,,released,2021-04-15T08:18:41.706Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.4.0
SkillGroup,http://data.europa.eu/esco/skill/S1.4.1,Präsentation allgemeiner Informationen,,,released,2021-12-17T12:55:43.975Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.4.1
SkillGroup,http://data.europa.eu/esco/skill/S1.4.2,Präsentation von Forschungs- oder fachlichen Informationen,,,released,2020-12-11T13:29:28.247Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.4.2
SkillGroup,http://data.europa.eu/esco/skill/S1.4.3,Präsentation von Informationen in Gerichtsverfahren,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.4.3
SkillGroup,http://data.europa.eu/esco/skill/S1.5,Beraten,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.5
SkillGroup,http://data.europa.eu/esco/skill/S1.5.0,Beraten,,,released,2021-12-17T12:56:40.76Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.5.0
SkillGroup,http://data.europa.eu/esco/skill/S1.5.1,"Beratung zu Rechts-, Regulierungs- oder Verfahrensfragen",,,released,2020-12-09T11:38:20.364Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.5.1
SkillGroup,http://data.europa.eu/esco/skill/S1.5.2,Finanzberatung,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.5.2
SkillGroup,http://data.europa.eu/esco/skill/S1.5.3,Beratung zu Waren und Dienstleistungen,,,released,2021-03-30T12:20:05.78Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.5.3
SkillGroup,http://data.europa.eu/esco/skill/S1.5.4,Medizinische Beratung,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.5.4
SkillGroup,http://data.europa.eu/esco/skill/S1.5.5,Beratung zu Umweltthemen,,,released,2020-12-08T19:34:13.541Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.5.5
SkillGroup,http://data.europa.eu/esco/skill/S1.5.6,Beratung zur Entwicklung oder Nutzung von Technologien,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.5.6
